feature_set,model,scenario,repeat,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A1_S2_temporal,CatBoost,random_40,0,0.6616825797153666,0.29908983590947985,0.38709395862324136,0.29908983590947985,0.302931001840471,0.6577849308309067,0.5429348321239519,0.5450328276458403
A1_S2_temporal,CatBoost,random_40,1,0.6506935687263556,0.28476992229230513,0.3694621659185818,0.28476992229230513,0.2891383677593684,0.6480245866083659,0.5284089492592415,0.5303840000298302
A1_S2_temporal,CatBoost,random_40,2,0.65807962529274,0.2995134823554703,0.43026788795608906,0.2995134823554703,0.31150489346551896,0.6544938102180781,0.5383118867292929,0.5406011695462909
A1_S2_temporal,CatBoost,random_40,3,0.6537560799855882,0.29386928784476435,0.3546848960462087,0.29386928784476435,0.2992252300497571,0.6513709804124964,0.5327974301590745,0.5346604121094153
A1_S2_temporal,CatBoost,random_40,4,0.65807962529274,0.29683527666308723,0.3450023986805285,0.29683527666308723,0.30354704637242624,0.654656152230253,0.5386184747868948,0.5408917581336644
A1_S2_temporal,CatBoost,random_40,5,0.6606016933885787,0.29552801288271957,0.37700924507608435,0.29552801288271957,0.30381780551913823,0.657080534471507,0.5414852951157221,0.5439402323774376
A1_S2_temporal,CatBoost,random_40,6,0.660241397946316,0.2985415274280474,0.3254257226027169,0.2985415274280474,0.30119136236929156,0.6581863266282538,0.5420905719921518,0.5440119965241732
A1_S2_temporal,CatBoost,random_40,7,0.6622230228787606,0.29270836775845216,0.3602387008802251,0.29270836775845216,0.30050828498349047,0.6594127215151347,0.544125098839964,0.5465101891138502
A1_S2_temporal,CatBoost,random_40,8,0.6645649432534678,0.2960082885401345,0.3628036392823298,0.2960082885401345,0.30693899980155914,0.6608511312653649,0.5468176648633281,0.5489728078790012
A1_S2_temporal,CatBoost,random_40,9,0.6620428751576293,0.3013388231646592,0.37442086507205996,0.3013388231646592,0.3114694350852943,0.6600182347029475,0.5444179819888573,0.5468304133177262
A1_S2_temporal,CatBoost,random_40,10,0.6640245000900739,0.2962051896993353,0.3732552645448093,0.2962051896993353,0.3032885710098202,0.6597176022023855,0.5453589492302566,0.5472429380702059
A1_S2_temporal,CatBoost,random_40,11,0.65807962529274,0.3004299746751155,0.4012241520349497,0.3004299746751155,0.31370032303643564,0.6549356964640122,0.5379430739864857,0.5403203497299526
A1_S2_temporal,CatBoost,random_40,12,0.6634840569266799,0.2944799810496625,0.40274261994822985,0.2944799810496625,0.3068047901859273,0.6604811409582831,0.5450958728772147,0.5476356387471502
A1_S2_temporal,CatBoost,random_40,13,0.659160511619528,0.29594947510490904,0.3497739244330905,0.29594947510490904,0.3064440901991795,0.6564817604781937,0.5392720989331503,0.5413006652306127
A1_S2_temporal,CatBoost,random_40,14,0.6634840569266799,0.3123798737894522,0.44961215993440273,0.3123798737894522,0.3243670738883172,0.6604961192134783,0.5459627790177961,0.5483908468820348
A1_S2_temporal,CatBoost,random_60,0,0.5658439920735002,0.19880097759868642,0.3452010254937846,0.19880097759868642,0.19920370029583812,0.5666625665532394,0.41680019945236035,0.42410667886720943
A1_S2_temporal,CatBoost,random_60,1,0.5743109349666726,0.2016461676471854,0.3770784181735189,0.2016461676471854,0.19841489456733524,0.5723115654390296,0.427223656648236,0.4343591491676933
A1_S2_temporal,CatBoost,random_60,2,0.5656638443523689,0.19724398698840376,0.25334248544822446,0.19724398698840376,0.18916525477255425,0.5654997168794849,0.4169662763441965,0.4245946676710343
