fold,feature,importance_mean,importance_std
0,NDVI__p10,-0.0006276261540201777,0.0009460183510817122
0,NDVI__p11,-0.0007791787745284329,0.00036551119779310026
0,NDVI__p12,-0.0012276110096256787,0.0008293895927798667
0,NDVI__p13,0.007271086935312643,0.0005707762557077833
0,NDVI__p14,-0.0009653032058421496,0.0009653032058421496
0,NDVI__p15,-0.00036339459979747857,0.00025720164609052687
0,NDVI__p16,-0.0012315179342547444,0.0006287391061565728
0,NDVI__p17,-0.0016218276718187596,0.0008908052762325591
0,NDVI__p18,-0.0010342638226232825,0.0
0,NDVI__p19,0.0,0.0
0,NDVI__p20,0.0,0.0
0,NDRE__p00,0.0,0.0
0,NDRE__p01,-0.0019293274661641435,0.0008248913600528152
0,NDRE__p02,-0.0003102981229440027,0.0003102981229440027
0,NDRE__p03,-0.0018920367021632578,0.0
0,NDRE__p04,-0.0003102981229440027,0.0003102981229440027
0,NDRE__p05,0.0,0.0
0,NDRE__p06,0.0,0.0
0,NDRE__p07,0.0,0.0
0,NDRE__p08,0.0,0.0
0,NDRE__p09,-0.0004136675767353326,0.0
0,NDRE__p10,-0.001033330795720655,0.0
0,NDRE__p11,-0.0005166653978603275,0.0005166653978603275
0,NDRE__p12,0.008794301222125989,0.0009171929861662154
0,NDRE__p13,0.003386180558518276,0.004419511354238931
0,NDRE__p14,0.0,0.0
0,NDRE__p15,0.0,0.0
0,NDRE__p16,0.0,0.0
0,NDRE__p17,0.0,0.0
0,NDRE__p18,-0.002049239997297614,0.0009448038911862855
0,NDRE__p19,0.0,0.0
0,NDRE__p20,-0.0004062126101919694,0.0003700413319288054
0,GNDVI__p00,-0.0009460183510816289,0.0009460183510816289
0,GNDVI__p01,-0.001033330795720655,0.0
0,GNDVI__p02,-0.0007597774506707122,0.0014953428818974823
0,GNDVI__p03,0.005167290793573837,0.0011905728828243423
0,GNDVI__p04,0.0,0.0
0,GNDVI__p05,6.583924071518199e-06,0.0006271801699595236
0,GNDVI__p06,0.0,0.0
0,GNDVI__p07,0.0,0.0
0,GNDVI__p08,0.0004180107417893486,0.0003175546894374215
0,GNDVI__p09,0.0,0.0
0,GNDVI__p10,-0.0003102981229440027,0.0003102981229440027
0,GNDVI__p11,-0.0027190002229676435,0.00020636727491632478
0,GNDVI__p12,0.0,0.0
0,GNDVI__p13,-0.0005166653978603275,0.0005166653978603275
0,GNDVI__p14,-0.00020776990984056054,0.00030822596219248766
0,GNDVI__p15,-0.00036339459979747857,0.00025720164609052687
0,GNDVI__p16,-0.001314650883131624,0.0012084579294246722
0,GNDVI__p17,-0.0012401645840883213,0.0002068337883676663
0,GNDVI__p18,-0.0005370935833693413,0.0005370935833693413
0,GNDVI__p19,-0.0016523746994880906,0.0005479385933767622
0,GNDVI__p20,-0.0012563164740256594,0.0012563164740256594
0,EVI__p00,0.0004171732341653467,0.0
0,EVI__p01,-0.0018920367021632578,0.0
0,EVI__p02,-0.0012563164740256316,0.0006357202281376262
0,EVI__p03,-0.0012563164740256316,0.0006357202281376262
0,EVI__p04,0.0,0.0
0,EVI__p05,-0.00157543009966013,0.0003166066025031278
0,EVI__p06,0.0,0.0
0,EVI__p07,0.0,0.0
0,EVI__p08,0.0,0.0
0,EVI__p09,-0.0011564470639743585,0.0009200512341642486
0,EVI__p10,0.0,0.0
0,EVI__p11,0.0,0.0
0,EVI__p12,-0.00045300491711516844,5.478350026935641e-05
0,EVI__p13,-0.002408702100023613,0.0005166653978603553
0,EVI__p14,0.0,0.0
0,EVI__p15,-0.0014556754112168557,0.0008350791653288503
0,EVI__p16,-0.0011570221599612185,0.0
0,EVI__p17,0.0,0.0
0,EVI__p18,0.0,0.0
0,EVI__p19,0.0009459272535611851,0.00021036182233441503
0,EVI__p20,0.0,0.0
0,LSWI__p00,0.00018529906132208618,0.0005502663699046839
0,LSWI__p01,0.0,0.0
0,LSWI__p02,-0.0013454395895846072,0.0003121087938639522
0,LSWI__p03,-0.0002068337883676663,0.0002068337883676663
0,LSWI__p04,-0.00032838376207558473,0.0002922124838124207
0,LSWI__p05,-0.0006524586256125842,0.0004519774804987442
0,LSWI__p06,0.0,0.0
0,LSWI__p07,-0.0003102981229440027,0.0003102981229440027
0,LSWI__p08,0.0002205790957108822,0.0005149863355158879
0,LSWI__p09,-0.0005166653978603275,0.0005166653978603275
0,LSWI__p10,0.00866304443841634,0.0004040080132306778
0,LSWI__p11,-0.0018920367021632578,0.0
0,LSWI__p12,0.00435892252359979,0.0030723676772697883
0,LSWI__p13,-0.002408702100023613,0.0005166653978603553
0,LSWI__p14,-0.0005166653978603275,0.0005166653978603275
0,LSWI__p15,-0.0012058842468198883,0.0
0,LSWI__p16,0.0,0.0
0,LSWI__p17,0.0,0.0
0,LSWI__p18,-0.0018920367021632578,0.0
0,LSWI__p19,0.0,0.0
0,LSWI__p20,0.0,0.0
0,S1A_VV__p00,-5.309647685347585e-05,5.309647685347585e-05
0,S1A_VV__p01,-0.0005757321259435844,5.587159550130005e-05
0,S1A_VV__p02,-0.001577625907915714,0.0004206037479544955
0,S1A_VV__p03,0.0,0.0
0,S1A_VV__p04,0.0,0.0
0,S1A_VV__p05,-0.001252089314223298,0.0005210669186370975
0,S1A_VV__p06,-0.001033330795720655,0.0
0,S1A_VV__p07,6.867639059993103e-05,0.0
0,S1A_VV__p08,-0.0004136675767353326,0.0
0,S1A_VV__p09,-0.0003102981229440027,0.0003102981229440027
0,S1A_VV__p10,-0.0010522113047885806,0.0009460183510816289
0,S1A_VV__p11,-0.0011044361061113284,0.0
0,S1A_VV__p12,-0.0010522113047885806,0.0009460183510816289
0,S1A_VV__p13,-0.002951313579355519,0.0019170497567322364
0,S1A_VV__p14,-0.0018920367021632578,0.0
0,S1A_VV__p15,-0.0014807693880735662,0.0014445981098104022
0,S1A_VV__p16,0.001774490789145211,0.004231229718454188
0,S1A_VV__p17,0.0,0.0
