feature_set,model,fold,validation_mode,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A0_S2_static,LinearSVM,0,spatial_grid_stratified_group,0.5829725829725829,0.33317000690216764,0.26139778351584864,0.33317000690216764,0.2690333924053227,0.6064943494664058,0.4659792659904648,0.47103759492640296
A0_S2_static,LinearSVM,1,spatial_grid_stratified_group,0.5455202312138728,0.30213915380352696,0.24614179063864877,0.30213915380352696,0.240644182733156,0.5726543905044533,0.41948670209396255,0.426135525921814
A0_S2_static,LinearSVM,2,spatial_grid_stratified_group,0.5212077641984184,0.29487019467892445,0.25877983929318316,0.29487019467892445,0.24907627242411975,0.5557793673821728,0.3981144419763081,0.40607105841323654
A0_S2_static,LinearSVM,3,spatial_grid_stratified_group,0.5136690647482014,0.2854609866155195,0.24320012539481842,0.2854609866155195,0.23848128267249688,0.5356999399700924,0.37620947210422084,0.3818316991771934
A0_S2_static,LinearSVM,OOF,spatial_grid_stratified_group,0.5408034588362457,0.3034303914478778,0.24867158199396827,0.3034303914478778,0.24659078667711146,0.5683175003466459,0.4148583840984058,0.42049091868347216
A0_S2_static,RBF_SVM,0,spatial_grid_stratified_group,0.43073593073593075,0.3210615897634594,0.2578866980436879,0.3210615897634594,0.23362222392188592,0.5056838922141839,0.33384787262167714,0.3517938786354086
A0_S2_static,RBF_SVM,1,spatial_grid_stratified_group,0.41690751445086704,0.34053167201896506,0.2700357446556053,0.34053167201896506,0.24093984946470515,0.4966051982341155,0.3219911783238816,0.3406703761561795
A0_S2_static,RBF_SVM,2,spatial_grid_stratified_group,0.3680805176132279,0.3739061201314252,0.266990958513535,0.3739061201314252,0.23473217762286988,0.44431054899416894,0.2786972188268386,0.29867296610721056
A0_S2_static,RBF_SVM,3,spatial_grid_stratified_group,0.3920863309352518,0.3452676671779227,0.26242241617537854,0.3452676671779227,0.23002860942186876,0.4573883917956504,0.29249601838889916,0.31023846429334123
A0_S2_static,RBF_SVM,OOF,spatial_grid_stratified_group,0.40190956584399207,0.3452610282447915,0.26423910144520524,0.3452610282447915,0.23512921926412206,0.47742833929942824,0.3065557917709255,0.32497548130379705
