feature_set,model,fold,validation_mode,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A2_S1_temporal,MLP,OOF,spatial_grid_stratified_group,0.6892451810484598,0.30594468984359685,0.3586479730504197,0.30594468984359685,0.31204454404021775,0.6677220626666606,0.5705147695895765,0.5719542403357579
A2_S1_temporal,XGBoost,OOF,spatial_grid_stratified_group,0.7079805440461178,0.29500956480333473,0.3945267045933132,0.29500956480333473,0.30549843479109945,0.6807549014121336,0.5917559776124286,0.5965999980771355
A2_S1_temporal,ShrinkageLDA,OOF,spatial_grid_stratified_group,0.6404251486218699,0.35483929670769637,0.2891547487221674,0.35483929670769637,0.30357888627306856,0.6481101516919339,0.5246941384785367,0.5279710865278691
A2_S1_temporal,GradientBoosting,OOF,spatial_grid_stratified_group,0.6833003062511259,0.2746875359176519,0.33556431045321305,0.2746875359176519,0.2867676928801244,0.6631997584417758,0.5598665201879014,0.5640496149637878
A2_S1_temporal,LinearSVM,OOF,spatial_grid_stratified_group,0.5780940371104305,0.3319760647027129,0.2740459815352966,0.3319760647027129,0.278883213799042,0.620005600331137,0.4667894103055439,0.47271086408522595
A2_S1_temporal,KNN,OOF,spatial_grid_stratified_group,0.6748333633579535,0.2852306246884534,0.32289120731494947,0.2852306246884534,0.2782384888964983,0.6522191467861341,0.549933906520804,0.5567394055253407
A2_S1_temporal,LogisticRegression,OOF,spatial_grid_stratified_group,0.4901819491983426,0.3632149123696079,0.2756756644142537,0.3632149123696079,0.27625133666463514,0.5507557228150199,0.384685954562192,0.3975860955548589
A2_S1_temporal,DecisionTree,OOF,spatial_grid_stratified_group,0.5395424247883265,0.26454499195862674,0.25778927961317544,0.26454499195862674,0.2596750694240612,0.5494372586761257,0.39122625786198606,0.3920689804390142
A2_S1_temporal,RandomForest,OOF,spatial_grid_stratified_group,0.680057647270762,0.2518451441595632,0.3602528987438945,0.2518451441595632,0.2587339472482324,0.6431677593892451,0.5409893341428484,0.5650969854037384
A2_S1_temporal,ExtraTrees,OOF,spatial_grid_stratified_group,0.680057647270762,0.2462274228713959,0.4306742871426729,0.2462274228713959,0.24674683743866963,0.640584254887435,0.5414951482156609,0.5652711716774167
