feature_set,model,macro_f1,macro_f1,balanced_accuracy,balanced_accuracy,accuracy,accuracy,weighted_f1,weighted_f1,kappa,kappa,mcc,mcc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
A3_S1_S2_temporal,GaussianNB,0.08059974017165875,0.008049725143806972,0.27077459544917615,0.021381233197653757,0.0628485709601536,0.020671344146399095,0.032851720637526526,0.007152357890829941,0.049557980271516325,0.017446375761058158,0.0642834957479337,0.021670819793197658
A3_S1_S2_temporal,GradientBoosting,0.3201565851003738,0.01781307391136129,0.3089665631287835,0.02062569448031598,0.7061808909660532,0.02705802649188752,0.6891055530734873,0.02294860112926408,0.5948369815086639,0.03644684673156171,0.5969654824440311,0.03561063808320259
A3_S1_S2_temporal,HistGradientBoosting,0.38824402079318754,0.027550232427453192,0.38015492106648974,0.02643654378665621,0.7330283238601265,0.02347620657587743,0.7171154907578545,0.02207947410049743,0.6346098960278913,0.03234946055830778,0.636088812591532,0.03173462669774878
A3_S1_S2_temporal,KNN,0.30424249645436763,0.00792609032939692,0.3091328262868102,0.015708511167136202,0.679884734283322,0.02099519226272522,0.659072643604142,0.022405186165712302,0.5573136163915227,0.03186791338270653,0.5628422049878075,0.02997378699497117
A3_S1_S2_temporal,LightGBM,0.37499428660994266,0.012100316709586893,0.36861403046151653,0.012368247838895528,0.7310383404326549,0.018931862275514074,0.7137102623757258,0.017561225632037856,0.6306126726636521,0.026380739096635363,0.632381831196031,0.025421787602943342
A3_S1_S2_temporal,LinearSVM,0.331743137826399,0.007711913352543809,0.371652163839178,0.011063302954563113,0.628724534474115,0.02430200010531349,0.64824108594255,0.02004451100589202,0.5160165642190068,0.027871418917077197,0.5184287358787103,0.026692173292503025
A3_S1_S2_temporal,LogisticRegression,0.33929741805215324,0.01937596401339446,0.3905869133712503,0.024793126189857472,0.619370314681959,0.02494661760773475,0.6463181547990671,0.018674340060482686,0.511424459750942,0.025385878075556673,0.515351801861677,0.023250881416961366
A3_S1_S2_temporal,MLP,0.3397742761479775,0.027822146193892644,0.3440966770851803,0.028569757645955027,0.6973584644071427,0.015471046995769911,0.6851067209374974,0.016664331598552073,0.5866670464686746,0.021612665350928217,0.5875370405126574,0.021234549908755906
A3_S1_S2_temporal,RBF_SVM,0.36741901527452436,0.013485595737244307,0.4152873363244576,0.002936529561181423,0.657922545294253,0.0189378394202007,0.6776184408472513,0.019454673089205024,0.5574587177742483,0.024303193380532523,0.5621291311826135,0.023749405049541303
A3_S1_S2_temporal,RandomForest,0.34631348418602903,0.018968525441558942,0.33067959554268983,0.02364587401938161,0.7213158385355288,0.029004795637329234,0.6949450861742548,0.028222244062239242,0.6101708979533855,0.041789741196104555,0.6160000174402074,0.03939356308777421
