feature_set,model,test_season,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
S1_only,LogisticRegression,LOSO_OOF,0.423728813559322,0.26684782608695656,0.22727272727272724,0.26684782608695656,0.24350877192982456,0.3934582218257508,0.21333333333333337,0.2208965531704403
S1_only,HistGradientBoosting,LOSO_OOF,0.2033898305084746,0.2,0.04067796610169492,0.2,0.0676056338028169,0.06875149200286465,0.0,0.0
S1_only,LightGBM,LOSO_OOF,0.2033898305084746,0.2,0.04067796610169492,0.2,0.0676056338028169,0.06875149200286465,0.0,0.0
S2_only,SVM_RBF,LOSO_OOF,0.559322033898305,0.4677795031055901,0.514535379369139,0.4677795031055901,0.4609523809523809,0.5611857069484187,0.41584158415841577,0.4371502802248979
S2_only,LogisticRegression,LOSO_OOF,0.5423728813559322,0.43933747412008284,0.45701754385964916,0.43933747412008284,0.43789343084759047,0.5551760547012482,0.3889528193325662,0.39802405182580497
S2_only,ExtraTrees,LOSO_OOF,0.4745762711864407,0.41301759834368534,0.3985714285714286,0.41301759834368534,0.3962179487179487,0.47490221642764024,0.2943672839506172,0.3012464063885005
S2_only,KNN,LOSO_OOF,0.4576271186440678,0.38040890269151134,0.3656654456654457,0.38040890269151134,0.37103812316715545,0.459065559918485,0.25610717100078806,0.25663193204787066
S2_only,GaussianNB,LOSO_OOF,0.423728813559322,0.4100155279503106,0.33814102564102566,0.4100155279503106,0.3342364532019705,0.3716957501878601,0.25037369207772786,0.2709446308255905
S2_only,XGBoost,LOSO_OOF,0.423728813559322,0.33159937888198754,0.33839598997493736,0.33159937888198754,0.32832844574780057,0.4220289278791192,0.2011150935882119,0.2036370449295046
S2_only,CatBoost,LOSO_OOF,0.3728813559322034,0.309083850931677,0.305,0.309083850931677,0.30136928220419684,0.38286016345386625,0.1632809505557684,0.16575398676671518
S2_only,RandomForest,LOSO_OOF,0.3728813559322034,0.29373706004140787,0.28786324786324785,0.29373706004140787,0.28647955092221333,0.3748349711624282,0.1408894136166864,0.14246057689132105
S2_only,GradientBoosting,LOSO_OOF,0.3389830508474576,0.27670807453416146,0.2695238095238095,0.27670807453416146,0.2664085914085914,0.33201544218493373,0.0883518225039619,0.0898863316531949
S2_only,HistGradientBoosting,LOSO_OOF,0.2033898305084746,0.2,0.04067796610169492,0.2,0.0676056338028169,0.06875149200286465,0.0,0.0
S2_only,LightGBM,LOSO_OOF,0.2033898305084746,0.2,0.04067796610169492,0.2,0.0676056338028169,0.06875149200286465,0.0,0.0
