feature_set,model,test_season,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
S1_only,ExtraTrees,wheat_2024_25,0.56,0.5555555555555556,0.4066666666666666,0.4444444444444445,0.3451910408432147,0.4601844532279315,0.39560439560439575,0.46672864517532503
S1_only,GradientBoosting,wheat_2023_24,0.47058823529411764,0.28214285714285714,0.33809523809523806,0.28214285714285714,0.28415584415584416,0.4452253628724217,0.2133676092544987,0.22640358795970134
S1_only,GradientBoosting,wheat_2024_25,0.64,0.6111111111111112,0.3973626373626374,0.48888888888888893,0.43015873015873013,0.566031746031746,0.48630136986301364,0.5148834293062082
S1_only,HistGradientBoosting,wheat_2023_24,0.23529411764705882,0.2,0.047058823529411764,0.2,0.07619047619047618,0.0896358543417367,0.0,0.0
S1_only,HistGradientBoosting,wheat_2024_25,0.16,0.25,0.032,0.2,0.05517241379310345,0.044137931034482755,0.0,0.0
S1_only,XGBoost,wheat_2023_24,0.4117647058823529,0.24285714285714288,0.3659090909090909,0.24285714285714288,0.23055555555555554,0.369281045751634,0.11342894393741865,0.12408884774864247
S1_only,XGBoost,wheat_2024_25,0.64,0.6111111111111112,0.40545454545454546,0.48888888888888893,0.41604010025062654,0.5818546365914786,0.5108695652173912,0.5456682498133663
S1_only,LightGBM,wheat_2023_24,0.23529411764705882,0.2,0.047058823529411764,0.2,0.07619047619047618,0.0896358543417367,0.0,0.0
S1_only,LightGBM,wheat_2024_25,0.16,0.25,0.032,0.2,0.05517241379310345,0.044137931034482755,0.0,0.0
S1_only,CatBoost,wheat_2023_24,0.5,0.3392857142857143,0.3668449197860963,0.3392857142857143,0.3412824866135562,0.4925904017085481,0.2655654383735706,0.27167153031535624
S1_only,CatBoost,wheat_2024_25,0.64,0.6111111111111112,0.393073593073593,0.48888888888888893,0.4205422647527911,0.5778373205741627,0.5054945054945056,0.5314968416521975
S1_S2_fusion,LogisticRegression,wheat_2023_24,0.47058823529411764,0.3345238095238095,0.4341520467836257,0.3345238095238095,0.3097742127153892,0.4346274160288001,0.23018867924528308,0.2433441789062785
S1_S2_fusion,LogisticRegression,wheat_2024_25,0.52,0.4861111111111111,0.3933333333333333,0.3888888888888889,0.37546218487394956,0.5275966386554621,0.375,0.39394948743605984
S1_S2_fusion,SVM_RBF,wheat_2023_24,0.6470588235294118,0.4523809523809524,0.5228571428571429,0.4523809523809524,0.45250827603768773,0.6252939678545215,0.47959183673469374,0.5021803890705139
S1_S2_fusion,SVM_RBF,wheat_2024_25,0.68,0.6701388888888888,0.6082251082251082,0.5361111111111111,0.5061562998405104,0.6561531100478468,0.5565410199556541,0.5800248141508764
S1_S2_fusion,KNN,wheat_2023_24,0.6470588235294118,0.4523809523809524,0.5244444444444445,0.4523809523809524,0.4125,0.5919117647058824,0.49063670411985016,0.5158866519443086
S1_S2_fusion,KNN,wheat_2024_25,0.68,0.6666666666666666,0.5499999999999999,0.5333333333333333,0.5387955182072829,0.6773109243697479,0.5495495495495495,0.5508251534209619
S1_S2_fusion,GaussianNB,wheat_2023_24,0.47058823529411764,0.27142857142857146,0.20317460317460317,0.27142857142857146,0.23126050420168065,0.3930795847750865,0.2133676092544987,0.23290453325430652
S1_S2_fusion,GaussianNB,wheat_2024_25,0.48,0.5,0.18888888888888888,0.4,0.2564102564102564,0.3117948717948718,0.2950108459869847,0.3786200927092679
S1_S2_fusion,RandomForest,wheat_2023_24,0.6764705882352942,0.5297619047619048,0.5504761904761905,0.5297619047619048,0.4957846210584547,0.6704971201093382,0.548854041013269,0.563914026445217
S1_S2_fusion,RandomForest,wheat_2024_25,0.6,0.6388888888888888,0.4916666666666666,0.5111111111111111,0.4795518207282913,0.5927170868347339,0.4577006507592192,0.4688935199588692
S1_S2_fusion,ExtraTrees,wheat_2023_24,0.5882352941176471,0.41309523809523807,0.4913157894736842,0.41309523809523807,0.4004545454545454,0.5627005347593583,0.40125786163522015,0.4199390082273961
S1_S2_fusion,ExtraTrees,wheat_2024_25,0.6,0.6111111111111112,0.49428571428571433,0.48888888888888893,0.4597402597402597,0.5887445887445887,0.4612068965517242,0.4787484015960258
S1_S2_fusion,GradientBoosting,wheat_2023_24,0.5,0.33809523809523806,0.45,0.33809523809523806,0.330125313283208,0.4578210231461005,0.2394736842105264,0.2721673528978039
S1_S2_fusion,GradientBoosting,wheat_2024_25,0.56,0.5486111111111112,0.35797979797979795,0.43888888888888894,0.3929824561403509,0.504327485380117,0.3692660550458715,0.38128114832804383
S1_S2_fusion,HistGradientBoosting,wheat_2023_24,0.23529411764705882,0.2,0.047058823529411764,0.2,0.07619047619047618,0.0896358543417367,0.0,0.0
S1_S2_fusion,HistGradientBoosting,wheat_2024_25,0.16,0.25,0.032,0.2,0.05517241379310345,0.044137931034482755,0.0,0.0
S1_S2_fusion,XGBoost,wheat_2023_24,0.47058823529411764,0.3345238095238095,0.44523809523809527,0.3345238095238095,0.31587301587301586,0.43043884220354806,0.2133676092544987,0.22994689537541835
S1_S2_fusion,XGBoost,wheat_2024_25,0.56,0.5486111111111112,0.35333333333333333,0.43888888888888894,0.37333333333333335,0.512,0.40087145969498905,0.4221782814732526
S1_S2_fusion,LightGBM,wheat_2023_24,0.23529411764705882,0.2,0.047058823529411764,0.2,0.07619047619047618,0.0896358543417367,0.0,0.0
S1_S2_fusion,LightGBM,wheat_2024_25,0.16,0.25,0.032,0.2,0.05517241379310345,0.044137931034482755,0.0,0.0
S1_S2_fusion,CatBoost,wheat_2023_24,0.5882352941176471,0.46547619047619043,0.5057539682539682,0.46547619047619043,0.4243137254901961,0.5697808535178777,0.42162818955042525,0.4372997018103637
S1_S2_fusion,CatBoost,wheat_2024_25,0.64,0.6041666666666666,0.45999999999999996,0.4833333333333333,0.46895424836601307,0.6363398692810458,0.5202558635394456,0.5398441481211513
