feature_set,model,test_season,mask_fraction,repeat,macro_f1,balanced_accuracy
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,3,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,4,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,5,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,6,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,7,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,8,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,9,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,10,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,11,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,12,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,13,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,14,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,15,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,16,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,17,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,18,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,19,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,20,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,21,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,22,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,23,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,24,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,0,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,1,0.4795518207282913,0.6388888888888888
S1_S2_fusion,RandomForest,wheat_2024_25,0.0,2,0.4795518207282913,0.6388888888888888
