field_id,latitude,longitude,period_start,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_raw,VV_VH_ratio_dB,optical_valid,sar_valid,optical_source_tile,sar_source_tile,season_day,growth_stage_pseudo
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-10-07,0.0211999993771314,0.0617999993264675,0.0593999996781349,0.316100001335144,0.1726000010967254,0.0952000021934509,0.6585226058959961,-0.6471595764160156,0.2513554692268371,0.3854566514492035,0.4052954614162445,-9.251508712768556,-15.593737602233888,0.5932835936546326,6.342228889465332,1,1,3,3,128.0,Grain Filling
GEE-PIXEL-100,29.4762711684386,76.82335743945313,2025-10-23,,,,,,,,,,,,-11.98798942565918,-17.865942001342773,0.6709967851638794,5.877952575683594,0,1,-1,3,144.0,
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-06-01,0.0645000040531158,0.1229500025510788,0.1491999924182891,0.2795500159263611,0.3632999956607818,0.3281500041484833,0.3047725558280945,-0.3920505940914154,-0.1322019249200821,0.1918819099664688,0.2093708515167236,-10.555734634399414,-17.03714942932129,0.6195716857910156,6.481414794921875,1,1,3,3,0.0,Flowering
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-06-17,,,,,,,,,,,,-8.749980926513672,-15.71056842803955,0.557759165763855,6.960587501525879,0,1,-1,3,16.0,
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-07-03,,,,,,,,,,,,-10.42969036102295,-18.142202377319336,0.5748856067657471,7.712512016296387,0,1,-1,3,32.0,
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-07-19,,,,,,,,,,,,-9.84892463684082,-15.845956802368164,0.6215418577194214,5.997032165527344,0,1,-1,3,48.0,
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-08-04,,,,,,,,,,,,-8.966139793395996,-16.20296859741211,0.5527969598770142,7.236828804016113,0,1,-1,3,64.0,
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-08-20,,,,,,,,,,,,-7.071044921875,-13.768360137939451,0.513572096824646,6.697315216064451,0,1,-1,3,80.0,
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-09-05,0.0597999989986419,0.0944499969482421,0.0765499994158744,0.2971000075340271,0.2186000049114227,0.1298000067472458,0.5902453660964966,-0.5162373781204224,0.1514151841402053,0.4211269021034241,0.3786664009094238,-8.862272262573242,-14.70378875732422,0.6027203798294067,5.841516494750978,1,1,3,3,96.0,Maturity
GEE-PIXEL-1000,29.619008120120263,76.76191506042775,2025-09-21,0.1010999977588653,0.133200004696846,0.1614000052213668,0.2217999994754791,0.3382999897003174,0.2660999894142151,0.1552083194255828,-0.2425770461559295,-0.2079985588788986,0.103706270456314,0.1011312156915664,-10.023374557495115,-17.659746170043945,0.5693801045417786,7.63637161254883,1,1,3,3,112.0,Maturity
